declaration,planned_module,kind,source_reference,formal_status,evidence_status,depends_on,stage,needed_for_main
Zeta5.FK,Zeta5/Construction/Definitions.lean,definition,Equation (2.5),pending,expanded_mathematical_draft,Zeta5.deltaK;Zeta5.scalarSK,1,true
Zeta5.GK,Zeta5/Construction/Definitions.lean,definition,Equation (2.4),pending,expanded_mathematical_draft,Zeta5.muX;Zeta5.parameters,1,true
Zeta5.QKM,Zeta5/Arithmetic/Normalization.lean,definition,Equation (2.6),pending,expanded_mathematical_draft,Zeta5.normalizationFactor;Zeta5.FK,1,true
Zeta5.deltaK,Zeta5/Construction/Definitions.lean,definition,Equation (2.4),pending,expanded_mathematical_draft,Zeta5.GK,1,true
Zeta5.determinant_degree,Zeta5/Construction/Degree.lean,proposition,Equation (2.9),pending,expanded_mathematical_draft,Zeta5.GK;Zeta5.deltaK,1,true
Zeta5.irrational_of_inputs,Zeta5/Main/Conditional.lean,conditional_theorem,Conditional bridge specified in Appendix D,pending,expanded_mathematical_draft,Zeta5.irrational_of_integer_polynomials;Zeta5.QKM;Zeta5.zetaFive,1,true
Zeta5.irrational_of_integer_polynomials,Zeta5/Main/IntegerPolynomialCriterion.lean,lemma,"Introduction, final integer contradiction",pending,expanded_mathematical_draft,,1,true
Zeta5.muX,Zeta5/Construction/Functional.lean,definition,Equations (2.2)-(2.3),pending,expanded_mathematical_draft,,1,true
Zeta5.normalizationFactor,Zeta5/Arithmetic/Normalization.lean,definition,Equations (5.1)-(5.3),pending,expanded_mathematical_draft,Zeta5.parameters;Zeta5.scalarSK,1,true
Zeta5.parameters,Zeta5/Construction/Definitions.lean,definition,Equation (2.1),pending,expanded_mathematical_draft,,1,true
Zeta5.scalarSK,Zeta5/Construction/Definitions.lean,definition,Equation (2.5),pending,expanded_mathematical_draft,Zeta5.parameters,1,true
Zeta5.zetaFive,Zeta5/Construction/Definitions.lean,definition,Series definition; Appendix D,pending,expanded_mathematical_draft,,1,true
Zeta5.zetaFive_eq_riemannZeta,Zeta5/Construction/ZetaBridge.lean,theorem,Bridge specified in Appendix D,pending,expanded_mathematical_draft,Zeta5.zetaFive,1,true
Zeta5.Certificate.energy_and_norm_constants,Zeta5/Certificate/Constants.lean,certificate,Appendix A.4,pending,exact_python_certificate_pass,Zeta5.Certificate.interval_soundness,2,true
Zeta5.Certificate.final_rational_margins,Zeta5/Certificate/Margins.lean,certificate,Appendix B.3,pending,exact_python_certificate_pass,Zeta5.Certificate.inner_integral;Zeta5.Certificate.outer_integral,2,true
